ExtCoef_OD_M_cm_1;ExtCoef_OD_M_cm_2;ExtCoef_OD_M_cm_3;ExtCoef_OD_M_cm_4
865;1228.271649982;806.09398541;2180.5825
866;1232.180300307;808.00488112;2171.1938
867;1236.392956768;810.00263573;2163.4725
868;1240.38846599;812.00039034;2150.5675
869;1244.601122451;814.08500385;2139.765
870;1248.683490569;816.3867646;2128.8537
871;1252.592140894;818.68852534;2121.7488
872;1256.196785083;821.07714499;2116.5287
873;1259.801429272;823.50919408;2104.6025
874;1263.796938493;825.89781372;2096.2287
875;1267.488441578;828.28643337;2086.4412
876;1270.658791286;830.80534135;2075.0225
877;1274.263435475;833.36767879;2064.2924
878;1277.781220768;835.88658678;2051.75
879;1281.08185882;838.49235366;2040.5487
880;1284.252208529;840.9678322;2028.0787
881;1287.465987685;843.57359908;2015.8262
882;1290.375760705;846.09250707;2007.67
883;1293.459251517;848.69827395;1997.0124
884;1296.759889569;851.39089973;1984.5787
885;1299.669662589;853.99666662;1975.7337
886;1302.362288369;856.6024335;1964.7862
887;1305.489208629;859.16477094;1950.5038
888;1308.051546064;861.77053782;1939.5925
889;1310.483595156;864.28944581;1927.7751
890;1313.349938728;866.76492435;1912.1875
891;1316.172852851;869.19697344;1900.5513
892;1318.561472495;871.58559308;1888.77
893;1320.646086001;873.97421272;1874.7412
894;1323.164993989;876.27597347;1864.1926
895;1325.857619768;878.49087532;1856.6525
896;1327.942233275;880.48862993;1842.225
897;1330.07027623;882.48638454;1829.3925
898;1331.981171945;884.35385081;1817.285
899;1333.761779315;886.09102873;1804.4163
900;1336.150398958;887.78477721;1788.1037
901;1338.148153569;889.47852568;1776.105
902;1339.972190387;890.78140912;1764.3237
903;1341.665938862;892.08429256;1752.5425
904;1343.142540095;893.387176;1741.5587
905;1344.879718018;894.16890607;1727.965
906;1346.356319252;894.99406558;1715.6762
907;1347.442055453;895.68893675;1698.0225
908;1349.266092272;895.99294289;1690.5912
909;1350.351828473;896.25351958;1671.9224
910;1351.046699642;896.55752571;1661.6275
911;1352.43644198;896.16666068;1646.7288
912;1353.869613766;895.47178951;1637.0137
913;1354.955349967;894.86377724;1618.0913
914;1355.867368377;893.95175883;1602.9388
915;1356.649098442;892.86602263;1592.0275
916;1357.474257955;891.78028643;1582.6388
917;1357.865122987;890.17339685;1565.8549
918;1358.342846916;888.26250113;1552.2612
919;1358.169129124;886.39503487;1539.465
920;1358.646853052;884.18013302;1526.3425
921;1359.472012565;881.48750724;1506.3325
922;1359.862877598;878.79488146;1496.1825
923;1359.862877598;875.79824954;1475.52
924;1359.862877598;872.36732314;1461.3825
925;1359.862877598;868.8929673;1453.5163
926;1360.03659539;865.28832311;1432.9263
927;1359.949736494;861.07566665;1426.8724
928;1359.558871461;856.86301019;1409.8713
929;1359.645730358;852.56349483;1393.9575
930;1359.168006429;847.78625554;1375.9051
931;1358.950859189;842.96558681;1361.26
932;1358.646853052;837.97120028;1352.4512
933;1358.038840779;832.19508369;1339.655
934;1357.343969611;826.28867876;1325.5175
935;1356.562239545;820.51256216;1312.7212
936;1355.346215;814.08500385;1296.2275
937;1354.564484935;807.78773388;1285.6062
938;1354.173619902;801.40360502;1268.7138
939;1352.957595357;794.28117554;1250.19
940;1351.654711915;787.2021755;1229.6362
941;1350.742693506;779.99288712;1216.0062
942;1349.874104545;772.52302206;1202.7025
943;1348.354073862;764.92286865;1183.0913
944;1346.443178148;757.32271524;1162.1387
945;1344.966576914;749.11454956;1151.1187
946;1344.141417401;740.81952498;1134.4074
947;1342.447668927;732.5245004;1113.3099
948;1340.667061556;723.92546968;1098.3387
949;1339.060171978;715.23958007;1077.1326
950;1337.062417367;706.64054935;1071.405
951;1335.064662757;698.04151864;1054.2225
952;1332.849760906;689.44248792;1046.1387
953;1330.982294639;680.84345721;1031.095
954;1328.94111058;671.33240808;1025.4038
955;1325.944478664;661.43049393;1013.84
956;1323.642717917;651.52857977;1013.6588
957;1321.384386618;641.84381285;998.325
958;1319.5603498;632.24590483;997.6
959;1316.86772402;622.73485571;991.0387
960;1314.044809896;613.13694769;988.2113
961;1311.96019639;603.53903966;966.2801
962;1309.571576747;593.94113164;964.7213
963;1306.661803727;584.16950583;955.985
964;1303.882319051;574.35445057;944.7112
965;1301.45026996;564.53939531;939.9987
966;1299.148509213;554.85462839;934.1626
967;1296.282165641;545.16986147;923.4325
968;1292.460374212;535.57195345;915.53
969;1289.680889536;525.93061598;907.5188
970;1286.46711038;516.46299631;900.7037
971;1283.470478464;506.95194718;898.0575
972;1280.386987651;497.44089806;895.8462
973;1276.956061255;487.84299004;886.675
974;1273.177699274;478.37537036;869.6374
975;1268.878183916;468.95118013;870.3988
976;1265.273539727;459.57041935;862.8587
977;1262.059760571;450.27651747;851.4037
978;1258.672263622;441.15633338;854.6663
979;1254.589895505;432.18815235;857.3487
980;1250.985251316;423.19391366;855.935
981;1246.685735958;414.49499521;849.2288
982;1242.690226737;405.99585223;844.6975
983;1238.998723652;397.40116446;837.8825
984;1234.78606719;389.10179693;834.8012
985;1230.182545696;380.90231714;831.9013
986;1225.709312546;372.80706802;820.555
987;1221.583514981;364.70747596;820.0837
988;1216.979993486;356.6078839;807.7587
989;1212.984484265;348.61252251;807.6137
990;1208.380962771;340.81259364;792.6788
991;1203.994588517;333.3166709;788.1475
992;1198.913343094;325.81640522;787.5676
993;1193.614950431;318.62014568;779.8099
994;1189.011428937;311.61931865;768.6449
995;1184.494766339;304.62283457;767.195
996;1178.588361403;297.72623822;763.9325
997;1172.985962604;290.82529892;760.2712
998;1169.120741726;284.0285903;749.1425
999;1163.388054583;277.53154487;741.9287
1000;1157.307931855;271.32981969;741.9287
